
============================================================
Running Example: aronsson_disc
============================================================

Generated full disc domain data:
  Boundary points: 10,000
  Interior points: 783,764
  Test points: 7,668
Re-sampling enabled: ~783,764 interior points per epoch

Splitting data: 80% train, 20% validation
  BC: 8,000 train, 2,000 val
  Interior: 627,011 train, 156,753 val

Model: InfinityLaplacianPINN
  Hidden layers: [128, 128, 128, 128]
  Activation: tanh
  η: 1e-05 (normalized)
  Parameters: 50,049

Training configuration:
  Boundary points (train): 8,000 -> 20 batches of 400
  Interior points (train): 783,764 -> 784 batches of 1000
  Interior sampling: RE-SAMPLE each epoch
  Boundary points (val): 2,000
  Validation loss: BC only
  Steps per epoch: 784
  Total steps: 78,400
  Epochs: 100
  Loss balancing: AlphaPlateauScheduler
  LR scheduler: cosine (LR: 1.0e-03 -> 1.0e-05)

/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch   1/100 | Steps:    784 | α=1e-05 | Loss: 2.6147e-02 | BC: 2.6100e-02 | PDE: 4.7436e+00 | Val: 6.2465e-04 | Test: 5.9802e-02 | LR=1.0e-03 *
Epoch   2/100 | Steps:   1568 | α=1e-05 | Loss: 2.5384e-04 | BC: 2.2876e-04 | PDE: 2.5081e+00 | Val: 8.8994e-05 | Test: 2.6253e-02 | LR=1.0e-03 *
Epoch   3/100 | Steps:   2352 | α=1e-05 | Loss: 2.3138e-04 | BC: 2.1253e-04 | PDE: 1.8845e+00 | Val: 1.3880e-04 | Test: 1.2565e-02 | LR=1.0e-03
Epoch   4/100 | Steps:   3136 | α=1e-05 | Loss: 2.0310e-04 | BC: 1.8684e-04 | PDE: 1.6250e+00 | Val: 2.8015e-04 | Test: 8.3141e-03 | LR=1.0e-03
Epoch   5/100 | Steps:   3920 | α=1e-05 | Loss: 1.8154e-04 | BC: 1.6716e-04 | PDE: 1.4383e+00 | Val: 4.9528e-05 | Test: 4.4306e-03 | LR=1.0e-03 *
Epoch   6/100 | Steps:   4704 | α=1e-05 | Loss: 1.3308e-04 | BC: 1.2082e-04 | PDE: 1.2263e+00 | Val: 1.2073e-04 | Test: 3.8063e-03 | LR=9.9e-04
Epoch   7/100 | Steps:   5488 | α=1e-05 | Loss: 1.4859e-04 | BC: 1.3713e-04 | PDE: 1.1461e+00 | Val: 1.9737e-05 | Test: 2.8307e-03 | LR=9.9e-04 *
Epoch   8/100 | Steps:   6272 | α=1e-05 | Loss: 1.2846e-04 | BC: 1.1799e-04 | PDE: 1.0475e+00 | Val: 7.1964e-05 | Test: 2.8942e-03 | LR=9.9e-04
Epoch   9/100 | Steps:   7056 | α=1e-05 | Loss: 1.1609e-04 | BC: 1.0545e-04 | PDE: 1.0639e+00 | Val: 1.3088e-05 | Test: 2.8318e-03 | LR=9.8e-04 *
Epoch  10/100 | Steps:   7840 | α=1e-05 | Loss: 1.0780e-04 | BC: 9.7324e-05 | PDE: 1.0477e+00 | Val: 1.5269e-05 | Test: 2.7172e-03 | LR=9.8e-04
Epoch  11/100 | Steps:   8624 | α=1e-05 | Loss: 9.6907e-05 | BC: 8.6700e-05 | PDE: 1.0206e+00 | Val: 5.0592e-05 | Test: 2.2158e-03 | LR=9.8e-04
Epoch  12/100 | Steps:   9408 | α=1e-05 | Loss: 1.1030e-04 | BC: 1.0033e-04 | PDE: 9.9726e-01 | Val: 2.2031e-05 | Test: 2.5393e-03 | LR=9.7e-04
Epoch  13/100 | Steps:  10192 | α=1e-05 | Loss: 8.4022e-05 | BC: 7.3990e-05 | PDE: 1.0032e+00 | Val: 1.4823e-05 | Test: 2.2280e-03 | LR=9.7e-04
Epoch  14/100 | Steps:  10976 | α=1e-05 | Loss: 7.7104e-05 | BC: 6.7520e-05 | PDE: 9.5832e-01 | Val: 6.7455e-05 | Test: 2.3041e-03 | LR=9.6e-04
Epoch  15/100 | Steps:  11760 | α=1e-05 | Loss: 8.5773e-05 | BC: 7.6476e-05 | PDE: 9.2971e-01 | Val: 8.3450e-05 | Test: 2.0802e-03 | LR=9.5e-04
Epoch  16/100 | Steps:  12544 | α=1e-05 | Loss: 7.5105e-05 | BC: 6.6190e-05 | PDE: 8.9147e-01 | Val: 1.0131e-05 | Test: 1.4697e-03 | LR=9.5e-04 *
Epoch  17/100 | Steps:  13328 | α=1e-05 | Loss: 7.5664e-05 | BC: 6.7205e-05 | PDE: 8.4594e-01 | Val: 9.7208e-06 | Test: 1.5802e-03 | LR=9.4e-04 *
Epoch  18/100 | Steps:  14112 | α=1e-05 | Loss: 6.5750e-05 | BC: 5.7735e-05 | PDE: 8.0149e-01 | Val: 3.4766e-04 | Test: 1.1789e-03 | LR=9.3e-04

>>> Alpha increased: 1e-05 → 1e-04 (BC=5.4770e-05) <<<
Epoch  19/100 | Steps:  14896 | α=1e-04 | Loss: 6.2420e-05 | BC: 5.4770e-05 | PDE: 7.6500e-01 | Val: 8.0052e-06 | Test: 1.3704e-03 | LR=9.2e-04 *
Epoch  20/100 | Steps:  15680 | α=1e-04 | Loss: 1.3682e-04 | BC: 9.9138e-05 | PDE: 3.7679e-01 | Val: 6.6609e-05 | Test: 1.2619e-04 | LR=9.1e-04
Epoch  21/100 | Steps:  16464 | α=1e-04 | Loss: 7.9603e-05 | BC: 5.3978e-05 | PDE: 2.5625e-01 | Val: 2.5607e-04 | Test: 6.7735e-04 | LR=9.1e-04
